epoch 040 | train loss 0.1494 | val acc 0.9116 | val nll 0.2537 | val ece 0.0320
epoch 041 | train loss 0.1485 | val acc 0.9134 | val nll 0.2507 | val ece 0.0332
epoch 042 | train loss 0.1450 | val acc 0.9121 | val nll 0.2516 | val ece 0.0311
early stopping at epoch 042
final test | best epoch 037 | test acc 0.9086 | test nll 0.2665 | test ece 0.0315
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p01.pt
saved metrics: results/fashion_student_kd_fisher_a0p01.csv

================================================================================
Running Fashion Fisher sweep: alpha=1e-05
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=3e-05
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=0.0001
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=0.0003
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=0.001
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=0.003
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=0.005
================================================================================

================================================================================
Running Fashion Fisher sweep: alpha=0.01
================================================================================

FASHION FISHER SWEEP SUMMARY
alpha      | best_epoch | best_val_acc   | best_val_nll   | best_val_ece   | best_val_fisher_mismatch | test_acc   | test_nll   | test_ece   | test_fisher_mismatch  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
1e-05      | 37         | 0.913121       | 0.248929       | 0.031134       | 0.012038                 | 0.909605   | 0.265439   | 0.033772   | 0.011858              
0.01       | 37         | 0.911144       | 0.249866       | 0.029925       | 0.012108                 | 0.908617   | 0.266547   | 0.031456   | 0.011913              
3e-05      | 37         | 0.911470       | 0.250128       | 0.031633       | 0.012123                 | 0.908760   | 0.265969   | 0.033080   | 0.012023              
0.0001     | 37         | 0.911900       | 0.250379       | 0.031905       | 0.012105                 | 0.909909   | 0.265755   | 0.031029   | 0.012010              
